year_month	county	hd	sd	cd	party	count
9/1/2013	POLK	20	10	5	Independent Party	1154
9/1/2013	POLK	20	10	5	NAV+	5491
9/1/2013	POLK	20	10	5	Republican	8472
9/1/2013	POLK	23	12	5	Democrat	5647
9/1/2013	POLK	23	12	5	Independent Party	726
9/1/2013	POLK	23	12	5	NAV+	3894
9/1/2013	POLK	23	12	5	Republican	7700
9/1/2013	SHERMAN	57	29	2	Democrat	339
9/1/2013	SHERMAN	57	29	2	Independent Party	33
9/1/2013	SHERMAN	57	29	2	NAV+	238
9/1/2013	SHERMAN	57	29	2	Republican	597
9/1/2013	TILLAMOOK	10	5	5	Democrat	1932
9/1/2013	TILLAMOOK	10	5	5	Independent Party	219
9/1/2013	TILLAMOOK	10	5	5	NAV+	1098
9/1/2013	TILLAMOOK	10	5	5	Republican	1715
9/1/2013	TILLAMOOK	32	16	5	Democrat	3863
9/1/2013	TILLAMOOK	32	16	5	Independent Party	377
9/1/2013	TILLAMOOK	32	16	5	NAV+	2323
9/1/2013	TILLAMOOK	32	16	5	Republican	3052
9/1/2013	UMATILLA	57	29	2	Democrat	4598
9/1/2013	UMATILLA	57	29	2	Independent Party	752
9/1/2013	UMATILLA	57	29	2	NAV+	5324
9/1/2013	UMATILLA	57	29	2	Republican	6707
9/1/2013	UMATILLA	58	29	2	Democrat	4216
9/1/2013	UMATILLA	58	29	2	Independent Party	731
9/1/2013	UMATILLA	58	29	2	NAV+	3969
9/1/2013	UMATILLA	58	29	2	Republican	6550
9/1/2013	UNION	58	29	2	Democrat	3873
9/1/2013	UNION	58	29	2	Independent Party	657
9/1/2013	UNION	58	29	2	NAV+	3098
9/1/2013	UNION	58	29	2	Republican	6756
9/1/2013	WALLOWA	58	29	2	Democrat	1225
9/1/2013	WALLOWA	58	29	2	Independent Party	150
9/1/2013	WALLOWA	58	29	2	NAV+	851
9/1/2013	WALLOWA	58	29	2	Republican	2414
9/1/2013	WASCO	57	29	2	Democrat	352
9/1/2013	WASCO	57	29	2	Independent Party	55
9/1/2013	WASCO	57	29	2	NAV+	341
9/1/2013	WASCO	57	29	2	Republican	624
9/1/2013	WASCO	59	30	2	Democrat	4631
9/1/2013	WASCO	59	30	2	Independent Party	502
9/1/2013	WASCO	59	30	2	NAV+	3218
9/1/2013	WASCO	59	30	2	Republican	3837
9/1/2013	WASHINGTON	24	12	1	Democrat	2480
9/1/2013	WASHINGTON	24	12	1	Independent Party	320
9/1/2013	WASHINGTON	24	12	1	NAV+	1915
9/1/2013	WASHINGTON	24	12	1	Republican	2633
9/1/2013	WASHINGTON	25	13	1	Democrat	1
9/1/2013	WASHINGTON	26	13	1	Democrat	9379
9/1/2013	WASHINGTON	26	13	1	Independent Party	1223
9/1/2013	WASHINGTON	26	13	1	NAV+	6618
9/1/2013	WASHINGTON	26	13	1	Republican	10404
9/1/2013	WASHINGTON	27	14	1	Democrat	15785
9/1/2013	WASHINGTON	27	14	1	Independent Party	1565
9/1/2013	WASHINGTON	27	14	1	NAV+	9065
9/1/2013	WASHINGTON	27	14	1	Republican	9956
9/1/2013	WASHINGTON	28	14	1	Democrat	13475
9/1/2013	WASHINGTON	28	14	1	Independent Party	1384
9/1/2013	WASHINGTON	28	14	1	NAV+	9549
9/1/2013	WASHINGTON	28	14	1	Republican	9118
9/1/2013	WASHINGTON	29	15	1	Democrat	10569
9/1/2013	WASHINGTON	29	15	1	Independent Party	1113
9/1/2013	WASHINGTON	29	15	1	NAV+	8159
9/1/2013	WASHINGTON	29	15	1	Republican	8384
9/1/2013	WASHINGTON	30	15	1	Democrat	12212
9/1/2013	WASHINGTON	30	15	1	Independent Party	1446
9/1/2013	WASHINGTON	30	15	1	NAV+	9887
9/1/2013	WASHINGTON	30	15	1	Republican	9905
9/1/2013	WASHINGTON	31	16	1	Democrat	1839
9/1/2013	WASHINGTON	31	16	1	Independent Party	210
9/1/2013	WASHINGTON	31	16	1	NAV+	1528
9/1/2013	WASHINGTON	31	16	1	Republican	1814
9/1/2013	WASHINGTON	32	16	1	Democrat	2033
9/1/2013	WASHINGTON	32	16	1	Independent Party	241
9/1/2013	WASHINGTON	32	16	1	NAV+	1595
9/1/2013	WASHINGTON	32	16	1	Republican	2375
9/1/2013	WASHINGTON	33	17	1	Democrat	10538
9/1/2013	WASHINGTON	33	17	1	Independent Party	1126
9/1/2013	WASHINGTON	33	17	1	NAV+	7569
9/1/2013	WASHINGTON	33	17	1	Republican	8009
9/1/2013	WASHINGTON	34	17	1	Democrat	14617
9/1/2013	WASHINGTON	34	17	1	Independent Party	1457
9/1/2013	WASHINGTON	34	17	1	NAV+	9560
9/1/2013	WASHINGTON	34	17	1	Republican	8696
9/1/2013	WASHINGTON	35	18	1	Democrat	13254
9/1/2013	WASHINGTON	35	18	1	Independent Party	1396
9/1/2013	WASHINGTON	35	18	1	NAV+	8025
9/1/2013	WASHINGTON	35	18	1	Republican	9773
9/1/2013	WASHINGTON	37	19	1	Democrat	5255
9/1/2013	WASHINGTON	37	19	1	Independent Party	681
9/1/2013	WASHINGTON	37	19	1	NAV+	3553
9/1/2013	WASHINGTON	37	19	1	Republican	4958
9/1/2013	WASHINGTON	38	19	1	NAV+	0
9/1/2013	WHEELER	59	30	2	Democrat	271
9/1/2013	WHEELER	59	30	2	Independent Party	38
9/1/2013	WHEELER	59	30	2	NAV+	213
9/1/2013	WHEELER	59	30	2	Republican	423
9/1/2013	YAMHILL	10	5	1	Democrat	949
9/1/2013	YAMHILL	10	5	1	Independent Party	152
9/1/2013	YAMHILL	10	5	1	NAV+	851
9/1/2013	YAMHILL	10	5	1	Republican	1082
9/1/2013	YAMHILL	23	12	1	Democrat	2545
9/1/2013	YAMHILL	23	12	1	Independent Party	333
9/1/2013	YAMHILL	23	12	1	NAV+	1885
9/1/2013	YAMHILL	23	12	1	Republican	3152
9/1/2013	YAMHILL	24	12	1	Democrat	9511
9/1/2013	YAMHILL	24	12	1	Independent Party	1282
9/1/2013	YAMHILL	24	12	1	NAV+	6982
9/1/2013	YAMHILL	24	12	1	Republican	10114
9/1/2013	YAMHILL	25	13	1	Democrat	3913
9/1/2013	YAMHILL	25	13	1	Independent Party	722
9/1/2013	YAMHILL	25	13	1	NAV+	3301
9/1/2013	YAMHILL	25	13	1	Republican	5456
9/1/2013	YAMHILL	32	16	1	Republican	1
10/1/2013	BAKER	60	30	2	Democrat	2505
10/1/2013	BAKER	60	30	2	Independent Party	510
10/1/2013	BAKER	60	30	2	NAV+	2341
10/1/2013	BAKER	60	30	2	Republican	4655
10/1/2013	BENTON	15	8	4	Democrat	252
10/1/2013	BENTON	15	8	4	Independent Party	34
10/1/2013	BENTON	15	8	4	NAV+	175
10/1/2013	BENTON	15	8	4	Republican	229
10/1/2013	BENTON	15	8	5	Democrat	2029
10/1/2013	BENTON	15	8	5	Independent Party	244
10/1/2013	BENTON	15	8	5	NAV+	1287
10/1/2013	BENTON	15	8	5	Republican	2665
10/1/2013	BENTON	16	8	4	Democrat	15850
10/1/2013	BENTON	16	8	4	Independent Party	1493
10/1/2013	BENTON	16	8	4	NAV+	9338
10/1/2013	BENTON	16	8	4	Republican	7865
10/1/2013	BENTON	23	12	4	Democrat	2911
10/1/2013	BENTON	23	12	4	Independent Party	299
10/1/2013	BENTON	23	12	4	NAV+	1771
10/1/2013	BENTON	23	12	4	Republican	2508
10/1/2013	BENTON	23	12	5	Democrat	335
10/1/2013	BENTON	23	12	5	Independent Party	40
10/1/2013	BENTON	23	12	5	NAV+	256
10/1/2013	BENTON	23	12	5	Republican	334
10/1/2013	CLACKAMAS	18	9	3	Democrat	765
10/1/2013	CLACKAMAS	18	9	3	Independent Party	94
10/1/2013	CLACKAMAS	18	9	3	NAV+	655
10/1/2013	CLACKAMAS	18	9	3	Republican	902
10/1/2013	CLACKAMAS	18	9	5	Democrat	3480
10/1/2013	CLACKAMAS	18	9	5	Independent Party	499
10/1/2013	CLACKAMAS	18	9	5	NAV+	3050
10/1/2013	CLACKAMAS	18	9	5	Republican	5298
10/1/2013	CLACKAMAS	26	13	5	Democrat	3157
10/1/2013	CLACKAMAS	26	13	5	Independent Party	532
10/1/2013	CLACKAMAS	26	13	5	NAV+	2401
10/1/2013	CLACKAMAS	26	13	5	Republican	3563
10/1/2013	CLACKAMAS	35	18	5	Democrat	188
10/1/2013	CLACKAMAS	35	18	5	Independent Party	15
10/1/2013	CLACKAMAS	35	18	5	NAV+	128
10/1/2013	CLACKAMAS	35	18	5	Republican	170
10/1/2013	CLACKAMAS	37	19	5	Democrat	9600
10/1/2013	CLACKAMAS	37	19	5	Independent Party	1094
10/1/2013	CLACKAMAS	37	19	5	NAV+	5591
10/1/2013	CLACKAMAS	37	19	5	Republican	9226
10/1/2013	CLACKAMAS	38	19	5	Democrat	10311
10/1/2013	CLACKAMAS	38	19	5	Independent Party	1147
10/1/2013	CLACKAMAS	38	19	5	NAV+	5309
10/1/2013	CLACKAMAS	38	19	5	Republican	8200
10/1/2013	CLACKAMAS	39	20	3	Democrat	8204
10/1/2013	CLACKAMAS	39	20	3	Independent Party	965
10/1/2013	CLACKAMAS	39	20	3	NAV+	5962
10/1/2013	CLACKAMAS	39	20	3	Republican	8844
10/1/2013	CLACKAMAS	39	20	5	Democrat	5315
10/1/2013	CLACKAMAS	39	20	5	Independent Party	721
10/1/2013	CLACKAMAS	39	20	5	NAV+	3312
10/1/2013	CLACKAMAS	39	20	5	Republican	6962
10/1/2013	CLACKAMAS	40	20	3	Democrat	5
10/1/2013	CLACKAMAS	40	20	3	Independent Party	1
10/1/2013	CLACKAMAS	40	20	3	NAV+	6
10/1/2013	CLACKAMAS	40	20	3	Republican	13
10/1/2013	CLACKAMAS	40	20	5	Democrat	15001
10/1/2013	CLACKAMAS	40	20	5	Independent Party	1695
10/1/2013	CLACKAMAS	40	20	5	NAV+	9647
10/1/2013	CLACKAMAS	40	20	5	Republican	11855
10/1/2013	CLACKAMAS	41	21	5	Democrat	11200
10/1/2013	CLACKAMAS	41	21	5	Independent Party	1072
10/1/2013	CLACKAMAS	41	21	5	NAV+	6340
10/1/2013	CLACKAMAS	41	21	5	Republican	5993
10/1/2013	CLACKAMAS	48	24	3	Democrat	133
10/1/2013	CLACKAMAS	48	24	3	Independent Party	17
10/1/2013	CLACKAMAS	48	24	3	NAV+	82
10/1/2013	CLACKAMAS	48	24	3	Republican	213
10/1/2013	CLACKAMAS	48	24	5	Democrat	6188
10/1/2013	CLACKAMAS	48	24	5	Independent Party	717
10/1/2013	CLACKAMAS	48	24	5	NAV+	4088
10/1/2013	CLACKAMAS	48	24	5	Republican	4690
10/1/2013	CLACKAMAS	51	26	3	Democrat	4249
10/1/2013	CLACKAMAS	51	26	3	Independent Party	511
10/1/2013	CLACKAMAS	51	26	3	NAV+	3170
10/1/2013	CLACKAMAS	51	26	3	Republican	4662
10/1/2013	CLACKAMAS	51	26	5	Democrat	2214
10/1/2013	CLACKAMAS	51	26	5	Independent Party	286
10/1/2013	CLACKAMAS	51	26	5	NAV+	1692
10/1/2013	CLACKAMAS	51	26	5	Republican	2062
10/1/2013	CLACKAMAS	52	26	3	Democrat	5991
10/1/2013	CLACKAMAS	52	26	3	Independent Party	809
10/1/2013	CLACKAMAS	52	26	3	NAV+	4843
10/1/2013	CLACKAMAS	52	26	3	Republican	6026
10/1/2013	CLACKAMAS	59	30	5	NAV+	0
10/1/2013	CLATSOP	32	16	1	Democrat	8639
10/1/2013	CLATSOP	32	16	1	Independent Party	922
10/1/2013	CLATSOP	32	16	1	NAV+	5670
10/1/2013	CLATSOP	32	16	1	Republican	6168
10/1/2013	COLUMBIA	31	16	1	Democrat	11636
10/1/2013	COLUMBIA	31	16	1	Independent Party	1171
10/1/2013	COLUMBIA	31	16	1	NAV+	7423
10/1/2013	COLUMBIA	31	16	1	Republican	8578
10/1/2013	COOS	1	1	4	Democrat	4980
10/1/2013	COOS	1	1	4	Independent Party	636
10/1/2013	COOS	1	1	4	NAV+	3305
10/1/2013	COOS	1	1	4	Republican	5450
10/1/2013	COOS	9	5	4	Democrat	7741
10/1/2013	COOS	9	5	4	Independent Party	932
10/1/2013	COOS	9	5	4	NAV+	4802
10/1/2013	COOS	9	5	4	Republican	6559
10/1/2013	CROOK	55	28	2	Democrat	3311
10/1/2013	CROOK	55	28	2	Independent Party	651
10/1/2013	CROOK	55	28	2	NAV+	2854
10/1/2013	CROOK	55	28	2	Republican	5593
10/1/2013	CURRY	1	1	4	Democrat	4190
10/1/2013	CURRY	1	1	4	Independent Party	866
10/1/2013	CURRY	1	1	4	NAV+	3050
10/1/2013	CURRY	1	1	4	Republican	5480
10/1/2013	DESCHUTES	53	27	2	Democrat	11500
10/1/2013	DESCHUTES	53	27	2	Independent Party	2375
10/1/2013	DESCHUTES	53	27	2	NAV+	9567
10/1/2013	DESCHUTES	53	27	2	Republican	15935
10/1/2013	DESCHUTES	54	27	2	Democrat	14140
10/1/2013	DESCHUTES	54	27	2	Independent Party	2632
10/1/2013	DESCHUTES	54	27	2	NAV+	10874
10/1/2013	DESCHUTES	54	27	2	Republican	12128
10/1/2013	DESCHUTES	55	28	2	Democrat	2174
10/1/2013	DESCHUTES	55	28	2	Independent Party	469
10/1/2013	DESCHUTES	55	28	2	NAV+	1837
10/1/2013	DESCHUTES	55	28	2	Republican	2954
10/1/2013	DESCHUTES	59	30	2	Democrat	3450
10/1/2013	DESCHUTES	59	30	2	Independent Party	737
10/1/2013	DESCHUTES	59	30	2	NAV+	2576
10/1/2013	DESCHUTES	59	30	2	Republican	5632
10/1/2013	DOUGLAS	1	1	4	Democrat	2510
10/1/2013	DOUGLAS	1	1	4	Independent Party	405
10/1/2013	DOUGLAS	1	1	4	NAV+	1778
10/1/2013	DOUGLAS	1	1	4	Republican	4793
10/1/2013	DOUGLAS	2	1	4	Democrat	8875
10/1/2013	DOUGLAS	2	1	4	Independent Party	1416
10/1/2013	DOUGLAS	2	1	4	NAV+	6701
10/1/2013	DOUGLAS	2	1	4	Republican	12574
10/1/2013	DOUGLAS	7	4	4	Democrat	5251
10/1/2013	DOUGLAS	7	4	4	Independent Party	960
10/1/2013	DOUGLAS	7	4	4	NAV+	4153
10/1/2013	DOUGLAS	7	4	4	Republican	8362
10/1/2013	DOUGLAS	9	5	4	Democrat	1164
10/1/2013	DOUGLAS	9	5	4	Independent Party	151
10/1/2013	DOUGLAS	9	5	4	NAV+	676
10/1/2013	DOUGLAS	9	5	4	Republican	1151
10/1/2013	GILLIAM	57	29	2	Democrat	339
10/1/2013	GILLIAM	57	29	2	Independent Party	58
10/1/2013	GILLIAM	57	29	2	NAV+	271
10/1/2013	GILLIAM	57	29	2	Republican	559
10/1/2013	GRANT	60	30	2	Democrat	1047
10/1/2013	GRANT	60	30	2	Independent Party	188
10/1/2013	GRANT	60	30	2	NAV+	897
10/1/2013	GRANT	60	30	2	Republican	2266
10/1/2013	HARNEY	60	30	2	Democrat	951
10/1/2013	HARNEY	60	30	2	Independent Party	169
10/1/2013	HARNEY	60	30	2	NAV+	873
10/1/2013	HARNEY	60	30	2	Republican	2241
10/1/2013	HOOD RIVER	52	26	2	Democrat	4858
10/1/2013	HOOD RIVER	52	26	2	Independent Party	504
10/1/2013	HOOD RIVER	52	26	2	NAV+	3285
10/1/2013	HOOD RIVER	52	26	2	Republican	3041
10/1/2013	JACKSON	2	1	2	Democrat	240
10/1/2013	JACKSON	2	1	2	Independent Party	64
10/1/2013	JACKSON	2	1	2	NAV+	233
10/1/2013	JACKSON	2	1	2	Republican	396
10/1/2013	JACKSON	4	2	2	Democrat	7740
10/1/2013	JACKSON	4	2	2	Independent Party	1789
10/1/2013	JACKSON	4	2	2	NAV+	7570
10/1/2013	JACKSON	4	2	2	Republican	13966
10/1/2013	JACKSON	5	3	2	Democrat	18226
10/1/2013	JACKSON	5	3	2	Independent Party	2068
10/1/2013	JACKSON	5	3	2	NAV+	9985
10/1/2013	JACKSON	5	3	2	Republican	11512
10/1/2013	JACKSON	6	3	2	Democrat	10206
10/1/2013	JACKSON	6	3	2	Independent Party	1935
10/1/2013	JACKSON	6	3	2	NAV+	8354
10/1/2013	JACKSON	6	3	2	Republican	13195
10/1/2013	JACKSON	55	28	2	Democrat	3020
10/1/2013	JACKSON	55	28	2	Independent Party	655
10/1/2013	JACKSON	55	28	2	NAV+	2980
10/1/2013	JACKSON	55	28	2	Republican	5535
10/1/2013	JEFFERSON	59	30	2	Democrat	3111
10/1/2013	JEFFERSON	59	30	2	Independent Party	573
10/1/2013	JEFFERSON	59	30	2	NAV+	2365
10/1/2013	JEFFERSON	59	30	2	Republican	3962
10/1/2013	JOSEPHINE	1	1	4	Democrat	671
10/1/2013	JOSEPHINE	1	1	4	Independent Party	129
10/1/2013	JOSEPHINE	1	1	4	NAV+	728
10/1/2013	JOSEPHINE	1	1	4	Republican	985
10/1/2013	JOSEPHINE	2	1	4	Democrat	858
10/1/2013	JOSEPHINE	2	1	4	Independent Party	207
10/1/2013	JOSEPHINE	2	1	4	NAV+	866
10/1/2013	JOSEPHINE	2	1	4	Republican	1506
10/1/2013	JOSEPHINE	3	2	2	Democrat	7078
10/1/2013	JOSEPHINE	3	2	2	Independent Party	1434
10/1/2013	JOSEPHINE	3	2	2	NAV+	6337
10/1/2013	JOSEPHINE	3	2	2	Republican	10932
10/1/2013	JOSEPHINE	3	2	4	Democrat	3800
10/1/2013	JOSEPHINE	3	2	4	Independent Party	635
10/1/2013	JOSEPHINE	3	2	4	NAV+	3528
10/1/2013	JOSEPHINE	3	2	4	Republican	4831
10/1/2013	JOSEPHINE	4	2	2	Democrat	1418
10/1/2013	JOSEPHINE	4	2	2	Independent Party	273
10/1/2013	JOSEPHINE	4	2	2	NAV+	1234
10/1/2013	JOSEPHINE	4	2	2	Republican	2562
10/1/2013	JOSEPHINE	4	2	4	Democrat	106
10/1/2013	JOSEPHINE	4	2	4	Independent Party	19
10/1/2013	JOSEPHINE	4	2	4	NAV+	108
10/1/2013	JOSEPHINE	4	2	4	Republican	187
10/1/2013	KLAMATH	5	3	2	NAV+	0
10/1/2013	KLAMATH	55	28	2	Democrat	1214
10/1/2013	KLAMATH	55	28	2	Independent Party	259
10/1/2013	KLAMATH	55	28	2	NAV+	982
10/1/2013	KLAMATH	55	28	2	Republican	1872
10/1/2013	KLAMATH	56	28	2	Democrat	7308
10/1/2013	KLAMATH	56	28	2	Independent Party	1475
10/1/2013	KLAMATH	56	28	2	NAV+	6471
10/1/2013	KLAMATH	56	28	2	Republican	14624
10/1/2013	LAKE	55	28	2	Democrat	293
10/1/2013	LAKE	55	28	2	Independent Party	82
10/1/2013	LAKE	55	28	2	NAV+	279
10/1/2013	LAKE	55	28	2	Republican	690
10/1/2013	LAKE	56	28	2	Democrat	528
10/1/2013	LAKE	56	28	2	Independent Party	111
10/1/2013	LAKE	56	28	2	NAV+	424
10/1/2013	LAKE	56	28	2	Republican	1363
10/1/2013	LAKE	60	30	2	Democrat	71
10/1/2013	LAKE	60	30	2	Independent Party	19
10/1/2013	LAKE	60	30	2	NAV+	41
10/1/2013	LAKE	60	30	2	Republican	255
10/1/2013	LANE	7	4	4	Democrat	6520
10/1/2013	LANE	7	4	4	Independent Party	812
10/1/2013	LANE	7	4	4	NAV+	4276
10/1/2013	LANE	7	4	4	Republican	6221
10/1/2013	LANE	8	4	4	Democrat	20477
10/1/2013	LANE	8	4	4	Independent Party	1673
10/1/2013	LANE	8	4	4	NAV+	10036
10/1/2013	LANE	8	4	4	Republican	8886
10/1/2013	LANE	9	5	4	Democrat	4428
10/1/2013	LANE	9	5	4	Independent Party	612
10/1/2013	LANE	9	5	4	NAV+	2418
10/1/2013	LANE	9	5	4	Republican	3854
10/1/2013	LANE	11	6	4	Democrat	13160
10/1/2013	LANE	11	6	4	Independent Party	1344
10/1/2013	LANE	11	6	4	NAV+	7025
10/1/2013	LANE	11	6	4	Republican	7646
10/1/2013	LANE	12	6	4	Democrat	12731
10/1/2013	LANE	12	6	4	Independent Party	1486
10/1/2013	LANE	12	6	4	NAV+	8546
10/1/2013	LANE	12	6	4	Republican	8757
10/1/2013	LANE	13	7	4	Democrat	16734
10/1/2013	LANE	13	7	4	Independent Party	1811
10/1/2013	LANE	13	7	4	NAV+	9554
10/1/2013	LANE	13	7	4	Republican	9974
10/1/2013	LANE	14	7	4	Democrat	14566
10/1/2013	LANE	14	7	4	Independent Party	1696
10/1/2013	LANE	14	7	4	NAV+	9290
10/1/2013	LANE	14	7	4	Republican	10686
10/1/2013	LINCOLN	9	5	5	Democrat	291
10/1/2013	LINCOLN	9	5	5	Independent Party	23
10/1/2013	LINCOLN	9	5	5	NAV+	101
10/1/2013	LINCOLN	9	5	5	Republican	132
10/1/2013	LINCOLN	10	5	5	Democrat	11319
10/1/2013	LINCOLN	10	5	5	Independent Party	1474
10/1/2013	LINCOLN	10	5	5	NAV+	7273
10/1/2013	LINCOLN	10	5	5	Republican	7305
10/1/2013	LINN	11	6	4	Democrat	2414
10/1/2013	LINN	11	6	4	Independent Party	449
10/1/2013	LINN	11	6	4	NAV+	1941
10/1/2013	LINN	11	6	4	Republican	3900
10/1/2013	LINN	15	8	4	Democrat	9665
10/1/2013	LINN	15	8	4	Independent Party	1441
10/1/2013	LINN	15	8	4	NAV+	7309
10/1/2013	LINN	15	8	4	Republican	10380
10/1/2013	LINN	17	9	4	Democrat	8081
10/1/2013	LINN	17	9	4	Independent Party	1407
10/1/2013	LINN	17	9	4	NAV+	6773
10/1/2013	LINN	17	9	4	Republican	10207
10/1/2013	MALHEUR	60	30	2	Democrat	2714
10/1/2013	MALHEUR	60	30	2	Independent Party	416
10/1/2013	MALHEUR	60	30	2	NAV+	3049
10/1/2013	MALHEUR	60	30	2	Republican	6115
10/1/2013	MARION	17	9	5	Democrat	2696
10/1/2013	MARION	17	9	5	Independent Party	390
10/1/2013	MARION	17	9	5	NAV+	2027
10/1/2013	MARION	17	9	5	Republican	4130
10/1/2013	MARION	18	9	5	Democrat	6181
10/1/2013	MARION	18	9	5	Independent Party	851
10/1/2013	MARION	18	9	5	NAV+	4246
10/1/2013	MARION	18	9	5	Republican	8210
10/1/2013	MARION	19	10	5	Democrat	11704
10/1/2013	MARION	19	10	5	Independent Party	1558
10/1/2013	MARION	19	10	5	NAV+	8047
10/1/2013	MARION	19	10	5	Republican	13582
10/1/2013	MARION	20	10	5	Democrat	4800
10/1/2013	MARION	20	10	5	Independent Party	509
10/1/2013	MARION	20	10	5	NAV+	2742
10/1/2013	MARION	20	10	5	Republican	4704
10/1/2013	MARION	21	11	5	Democrat	11310
10/1/2013	MARION	21	11	5	Independent Party	1226
10/1/2013	MARION	21	11	5	NAV+	7406
10/1/2013	MARION	21	11	5	Republican	7634
10/1/2013	MARION	22	11	5	Democrat	7991
10/1/2013	MARION	22	11	5	Independent Party	893
10/1/2013	MARION	22	11	5	NAV+	5819
10/1/2013	MARION	22	11	5	Republican	5834
10/1/2013	MARION	23	12	5	Democrat	1520
10/1/2013	MARION	23	12	5	Independent Party	240
10/1/2013	MARION	23	12	5	NAV+	1218
10/1/2013	MARION	23	12	5	Republican	2425
10/1/2013	MARION	25	13	5	Democrat	6957
10/1/2013	MARION	25	13	5	Independent Party	943
10/1/2013	MARION	25	13	5	NAV+	4934
10/1/2013	MARION	25	13	5	Republican	8506
10/1/2013	MARION	39	20	5	Democrat	8
10/1/2013	MARION	39	20	5	Independent Party	5
10/1/2013	MARION	39	20	5	NAV+	8
10/1/2013	MARION	39	20	5	Republican	21
10/1/2013	MARION	59	30	5	NAV+	0
10/1/2013	MORROW	57	29	2	Democrat	1353
10/1/2013	MORROW	57	29	2	Independent Party	245
10/1/2013	MORROW	57	29	2	NAV+	1298
10/1/2013	MORROW	57	29	2	Republican	1993
10/1/2013	MULTNOMAH	27	14	1	Democrat	38
10/1/2013	MULTNOMAH	27	14	1	Independent Party	2
10/1/2013	MULTNOMAH	27	14	1	NAV+	6
10/1/2013	MULTNOMAH	27	14	1	Republican	14
10/1/2013	MULTNOMAH	27	14	3	Democrat	722
10/1/2013	MULTNOMAH	27	14	3	Independent Party	46
10/1/2013	MULTNOMAH	27	14	3	NAV+	252
10/1/2013	MULTNOMAH	27	14	3	Republican	441
10/1/2013	MULTNOMAH	31	16	1	Democrat	1867
10/1/2013	MULTNOMAH	31	16	1	Independent Party	131
10/1/2013	MULTNOMAH	31	16	1	NAV+	1021
10/1/2013	MULTNOMAH	31	16	1	Republican	980
10/1/2013	MULTNOMAH	33	17	1	Democrat	7307
10/1/2013	MULTNOMAH	33	17	1	Independent Party	613
10/1/2013	MULTNOMAH	33	17	1	NAV+	3677
10/1/2013	MULTNOMAH	33	17	1	Republican	1880
10/1/2013	MULTNOMAH	35	18	1	Democrat	2249
10/1/2013	MULTNOMAH	35	18	1	Independent Party	161
10/1/2013	MULTNOMAH	35	18	1	NAV+	958
10/1/2013	MULTNOMAH	35	18	1	Republican	761
10/1/2013	MULTNOMAH	35	18	3	Democrat	444
10/1/2013	MULTNOMAH	35	18	3	Independent Party	21
10/1/2013	MULTNOMAH	35	18	3	NAV+	175
10/1/2013	MULTNOMAH	35	18	3	Republican	106
10/1/2013	MULTNOMAH	35	18	5	Democrat	461
10/1/2013	MULTNOMAH	35	18	5	Independent Party	42
10/1/2013	MULTNOMAH	35	18	5	NAV+	215
10/1/2013	MULTNOMAH	35	18	5	Republican	213
10/1/2013	MULTNOMAH	36	18	1	Democrat	8244
10/1/2013	MULTNOMAH	36	18	1	Independent Party	558
10/1/2013	MULTNOMAH	36	18	1	NAV+	3751
10/1/2013	MULTNOMAH	36	18	1	Republican	2023
10/1/2013	MULTNOMAH	36	18	3	Democrat	14986
10/1/2013	MULTNOMAH	36	18	3	Independent Party	1339
10/1/2013	MULTNOMAH	36	18	3	NAV+	8310
10/1/2013	MULTNOMAH	36	18	3	Republican	3824
10/1/2013	MULTNOMAH	38	19	3	Democrat	9926
10/1/2013	MULTNOMAH	38	19	3	Independent Party	719
10/1/2013	MULTNOMAH	38	19	3	NAV+	4403
10/1/2013	MULTNOMAH	38	19	3	Republican	2990
10/1/2013	MULTNOMAH	38	19	5	Democrat	1279
10/1/2013	MULTNOMAH	38	19	5	Independent Party	103
10/1/2013	MULTNOMAH	38	19	5	NAV+	503
10/1/2013	MULTNOMAH	38	19	5	Republican	578
10/1/2013	MULTNOMAH	41	21	3	Democrat	9667
10/1/2013	MULTNOMAH	41	21	3	Independent Party	588
10/1/2013	MULTNOMAH	41	21	3	NAV+	4241
10/1/2013	MULTNOMAH	41	21	3	Republican	1988
10/1/2013	MULTNOMAH	42	21	3	Democrat	25829
10/1/2013	MULTNOMAH	42	21	3	Independent Party	1647
10/1/2013	MULTNOMAH	42	21	3	NAV+	14993
10/1/2013	MULTNOMAH	42	21	3	Republican	2729
10/1/2013	MULTNOMAH	43	22	3	Democrat	28531
10/1/2013	MULTNOMAH	43	22	3	Independent Party	1438
10/1/2013	MULTNOMAH	43	22	3	NAV+	13405
10/1/2013	MULTNOMAH	43	22	3	Republican	2524
10/1/2013	MULTNOMAH	44	22	3	Democrat	20904
10/1/2013	MULTNOMAH	44	22	3	Independent Party	1255
10/1/2013	MULTNOMAH	44	22	3	NAV+	11478
10/1/2013	MULTNOMAH	44	22	3	Republican	3477
10/1/2013	MULTNOMAH	45	23	3	Democrat	23419
10/1/2013	MULTNOMAH	45	23	3	Independent Party	1398
10/1/2013	MULTNOMAH	45	23	3	NAV+	10594
10/1/2013	MULTNOMAH	45	23	3	Republican	5672
10/1/2013	MULTNOMAH	46	23	3	Democrat	20749
10/1/2013	MULTNOMAH	46	23	3	Independent Party	1343
10/1/2013	MULTNOMAH	46	23	3	NAV+	11498
10/1/2013	MULTNOMAH	46	23	3	Republican	4673
